"Retail sales of goods and services at current prices by province (*) by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Dak Nong";..;..;..;..;..;..;..;..;565.0;681.4;1348.0;1798.5;2583.0;3344.5;4184.6;5140.4;6623.9;7910.8;8968.1;9795.3;9796.3
"Lam Dong";949.8;1036.6;1082.1;1258.1;1465.2;2170.3;2181.0;2660.0;3020.4;3934.6;5975.7;7256.1;9245.4;13136.5;16414.7;19829.0;23523.6;28917.5;30323.9;33252.0;33253.0
"South East";43161.5;51535.1;55991.6;65748.8;70481.3;77361.1;84049.0;96342.0;115786.3;137277.2;157144.2;196027.9;244059.1;336668.2;420436.3;616116.6;777509.5;863089.5;892483.1;1008907.1;1008908.1
"Binh Phuoc";1048.9;737.5;825.4;1081.4;1202.7;1328.1;1501.0;1707.0;2108.1;2577.4;3271.8;4570.4;5692.8;7834.1;9380.8;12286.7;16725.3;18755.1;22589.3;25241.6;25242.6
"Tay Ninh";1401.4;2137.6;2510.5;2170.3;4355.9;4633.9;3934.0;3968.0;5816.6;7001.2;8550.8;11259.3;13465.3;19111.4;22286.4;30349.2;38395.1;41462.2;45716.0;50559.1;50560.1
"Binh  Duong";1941.7;2742.5;2905.6;3057.5;3319.7;4082.1;4773.0;5515.0;6756.5;8386.4;10683.9;13771.0;18126.3;26344.4;33699.9;43815.5;56589.5;73197.7;77487.4;94459.3;94460.3
"Dong Nai";2941.5;3232.4;3568.4;3951.4;4028.1;5053.2;6598.0;8511.0;10856.8;13760.3;17364.1;21158.5;26116.8;37720.8;45230.5;58045.1;73488.6;86178.7;94368.2;103180.0;103181.0
"Ba Ria - Vung Tau";1747.3;2237.0;2889.6;2924.4;3377.7;4275.8;4924.0;5148.0;8973.7;9558.5;9296.2;8762.4;12723.7;14050.5;18808.6;22870.9;31752.5;37102.2;38184.6;42842.5;42843.5
"Ho Chi Minh city";34080.7;40448.0;43292.0;52563.8;54197.2;57988.0;62319.0;71493.0;81274.6;95993.4;107977.4;136506.3;167934.2;231607.0;291030.1;448749.2;560558.5;606393.6;614137.6;692624.6;692625.6
"Mekong River Delta";23865.2;27497.8;31761.4;35508.0;38756.9;43505.7;47254.0;53968.0;63936.8;76332.6;97501.2;116364.4;144784.5;185598.5;225030.0;302612.8;363675.0;419492.6;479071.9;544392.0;544393.0
"Long An";1869.2;2332.7;2603.6;2663.7;3005.4;3316.7;3610.0;3950.0;4341.5;5195.8;6053.3;7135.1;9038.8;11579.5;14077.1;18320.5;24022.1;28683.7;34009.8;40355.7;40356.7
"Tien Giang";2012.2;2571.7;3066.6;3982.4;4481.8;5316.2;6487.0;6259.0;7400.7;8267.1;9302.1;10505.8;13002.3;15413.6;18060.1;23635.3;28364.8;33420.2;38256.4;43832.8;43833.8
"Ben Tre";786.5;1020.8;1344.6;1171.2;1408.7;1298.4;1600.0;1714.0;3694.5;4598.6;5458.0;6460.1;8261.6;10878.2;12587.0;16025.8;19325.1;20607.7;23323.7;26205.4;26206.4
"Tra Vinh";571.8;878.7;1140.8;1349.8;1452.8;1571.7;1785.0;2781.0;2879.6;3599.7;4781.1;4950.9;5669.2;6798.8;7549.7;9402.0;10821.2;13242.1;14551.3;15404.0;15405.0
"Vinh Long";1688.4;1997.3;2126.7;2334.9;2514.7;2694.4;3037.0;3344.0;3927.8;4767.8;5710.7;6880.8;8763.1;11361.6;13784.4;17508.9;20599.4;24466.3;29635.2;32525.0;32526.0
"Dong Thap";1907.5;2305.6;2768.7;2956.7;3324.2;3685.0;3936.0;4499.0;5263.9;6191.9;7674.2;9256.7;12781.9;16891.0;21678.2;29181.6;39566.4;46874.6;49034.5;53671.4;53672.4
"An Giang";5562.7;5629.2;7004.2;7572.8;7275.6;7753.1;7665.0;9249.0;11068.8;13345.5;17225.2;19227.8;23665.7;28396.2;32135.0;51086.9;46722.9;52261.4;58605.0;65537.7;65538.7
"Kien  Giang";2954.4;3321.5;3861.4;4454.9;5340.4;5304.0;5532.0;6084.0;5345.2;6334.1;10294.6;12342.6;15582.7;19546.3;22567.2;31188.0;38476.1;41903.9;48400.3;54557.7;54558.7
"Can Tho";3088.9;3402.9;3613.9;4020.9;4542.2;5845.9;5986.0;6910.0;6865.3;8343.9;10414.5;12887.1;14918.6;20520.6;27173.7;32514.0;39496.8;45637.9;53320.5;62575.7;62576.7
"Hau Giang";..;..;..;..;..;..;..;..;1379.1;1776.0;2664.1;3944.1;4890.3;6961.8;9389.8;12948.4;17443.9;17950.4;24130.2;28208.5;28209.5
"Soc Trang";1012.4;1161.3;1282.1;1497.8;1589.4;1707.9;1850.0;1850.0;2808.2;3610.4;5377.7;7018.1;9090.4;12337.0;15608.1;22782.8;28518.1;34965.1;37563.7;42291.2;42292.2
"Bac Lieu";1008.5;1100.0;1180.0;1400.0;1446.5;2224.9;2300.0;2800.0;3400.0;3536.0;4950.1;6125.7;7154.0;9448.6;11600.0;13982.7;19970.1;24567.5;28385.3;33299.5;33300.5
"Ca Mau";1402.7;1776.0;1768.8;2103.0;2375.2;2787.5;3466.0;4528.0;5562.2;6765.8;7595.6;9629.6;11965.9;15465.3;18819.7;24035.9;30348.1;34911.8;39856.0;45927.4;45928.4
