"Exports of goods by country group, country and territory by Country and territory and Year"

"Country and territory";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Peru";..;..;..;..;..;0.80;1.70;1.20;2.50;6.10;8.10;12.60;16.50;35.70;25.60;38.30;76.30;100.60;109.80;186.90;239.10
"Egypt";..;..;..;..;..;19.00;28.60;21.80;14.80;40.30;45.10;49.00;97.80;167.80;162.70;174.60;256.30;297.70;220.00;380.00;361.70
"Algeria";11.10;8.94;8.22;1.77;4.70;6.40;11.70;3.30;18.20;13.90;30.90;34.20;40.50;77.50;81.60;75.80;100.40;129.10;176.70;246.40;233.80
"Angola";..;..;..;..;..;20.20;28.00;20.60;28.00;34.80;76.20;60.30;49.40;143.80;89.20;111.20;68.10;115.80;124.60;81.40;47.10
"Ghana";..;..;..;..;..;7.30;4.70;8.60;15.30;31.80;23.40;38.20;53.20;52.20;77.50;98.60;120.30;203.60;247.00;243.60;240.50
"Guinea";..;..;..;..;..;6.30;0.50;0.50;1.00;9.00;6.60;14.50;8.10;37.40;32.10;47.80;94.40;39.10;33.20;8.80;..
"South Africa";1.70;2.37;8.49;16.25;35.10;25.80;29.10;15.50;22.70;56.80;111.80;100.70;115.60;146.40;377.90;494.10;1864.40;612.60;764.20;793.00;1038.90
"Nigeria";..;..;..;..;..;4.90;8.10;9.40;10.50;11.40;17.10;33.00;34.10;64.20;66.90;109.80;70.50;112.70;147.90;182.90;113.10
"Tanzania, Rep,";..;..;..;..;..;9.30;9.30;6.10;20.70;25.00;22.50;22.60;18.50;26.60;29.00;35.70;24.10;37.30;25.60;51.60;64.20
"Senegal";..;..;..;..;..;5.60;21.30;13.80;34.00;57.20;41.90;9.50;10.00;102.60;107.20;80.30;190.20;91.20;43.20;55.40;39.60
"New Zealand";1.40;7.93;20.24;25.68;17.70;18.20;18.49;21.20;25.00;46.90;47.50;54.10;67.50;76.60;70.50;122.60;151.40;184.00;273.90;315.90;326.10
"Australia";55.40;64.78;230.43;471.54;814.60;1272.50;1041.80;1328.30;1420.90;1884.70;2722.80;3744.70;3802.20;4351.60;2386.10;2704.00;2602.00;3208.70;3488.10;3988.20;2914.80
