"Main industrial products by Main industrial products and Year"

"Main industrial products";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel.2015"
"Steel(Thous. tons)";470.0;868.0;978.0;1077.0;1357.1;1583.0;1914.0;2503.0;2954.0;3279.0;3403.0;3837.0;4612.0;5001.0;7497.9;8414.5;8084.9;8405.4;9251.9;10739.0;12065.0
"Printer(Thous. pieces)";..;..;..;..;..;..;..;..;..;..;672.5;..;..;8955.9;9420.5;14561.9;15467.9;15721.7;17297.7;16059.0;14503.0
"Telephone(Thous. pieces)";..;..;..;..;..;..;..;..;..;..;168.6;..;..;3210.9;9120.9;9405.7;11047.8;9680.5;5531.2;5439.5;5384.6
"Mobile phone(Mill. pieces)";..;..;..;..;..;..;..;..;..;..;..;..;..;0.0;6.4;37.5;79.6;109.4;132.0;181.4;238.7
"Assembled television set(Thous. pieces)";770.0;741.0;533.0;921.0;902.6;1013.1;1125.6;1597.3;2187.8;2659.7;2515.3;2445.6;2927.5;3106.7;3005.9;2800.3;3099.2;2600.4;3112.3;3425.9;5180.0
"Digital camera(Thous. pieces)";..;..;..;..;..;..;..;..;..;..;..;..;..;3750.7;3158.7;3273.0;1468.9;0.0;0.0;0.0;0.0
"Batteries (1.5V)(Mill. pieces)";138.0;183.0;195.2;302.0;219.9;128.6;269.8;264.4;328.7;359.5;395.7;277.3;342.8;330.4;393.2;397.0;415.1;443.9;423.9;457.9;468.4
"Battery power(Thous. kwh)";..;..;..;..;..;..;..;..;..;..;8308.0;..;..;11083.0;11989.0;15931.0;13667.0;12398.0;13109.0;13378.0;13993.0
"Lamp(Mill. pieces)";25.1;28.7;29.9;30.4;36.3;69.7;74.2;87.8;105.5;118.0;102.2;208.1;222.2;204.0;273.2;350.4;360.4;253.7;200.6;161.3;137.7
"Household Fridge and freezer(Thous. pieces)";..;..;..;..;..;174.5;..;..;479.3;621.5;692.6;793.4;946.1;1000.8;1306.8;1540.9;1507.1;1632.2;1734.9;1521.5;1593.3
"Household washing machine(Thous. pieces)";..;..;..;..;..;159.0;..;..;283.0;514.5;336.6;339.8;414.5;532.2;491.4;467.4;656.1;851.3;930.9;916.4;980.8
"Household electric fan(Thous. pieces)";369.2;268.0;306.5;358.2;323.3;328.4;839.7;1072.0;1285.0;1088.6;1751.7;1809.6;2930.7;2914.7;5561.0;7174.1;7045.8;5905.0;5336.4;5524.4;5789.6
"Air-conditioner(Thous. pieces)";..;..;..;..;..;52.5;..;..;72.1;127.3;147.9;189.0;284.5;313.1;325.2;343.7;355.3;393.4;414.1;286.6;371.7
"Threshing machine(Thous. pieces)";36.4;17.9;14.9;16.5;18.1;18.9;20.9;25.1;16.7;28.5;26.5;25.7;21.4;17.7;16.6;9.0;9.9;12.6;14.0;12.9;12.6
"Assembled automobile(Thous. pieces)";3.5;5.8;6.5;4.9;5.9;13.5;20.5;29.5;47.7;51.0;59.2;47.6;71.9;104.8;112.5;112.3;108.2;86.9;101.1;134.0;198.6
"Assembled motobike(Thous. pieces)";62.0;68.0;77.4;256.0;241.5;463.4;610.3;1051.6;1180.4;1828.4;1982.1;2146.6;2729.2;2880.2;3091.5;3506.6;4070.2;3634.5;3662.3;3488.8;3046.0
"Bicycle(Thous. pieces)";236.0;56.0;246.5;112.0;105.6;659.0;1123.8;1583.0;2177.0;3607.0;2524.5;1591.0;1605.0;647.3;543.1;705.9;756.5;643.5;700.8;720.7;724.3
"Electricity(Mill. kwh)";14665.0;16962.0;19253.0;21694.0;23599.0;26683.0;30673.1;35888.0;40546.0;46202.0;52078.0;57917.0;64147.0;70960.0;80643.0;91722.0;101499.0;115147.0;124454.0;141250.0;157949.0
"Running water(Mill. m3)";..;..;..;..;..;..;..;..;..;..;933.0;..;..;1194.4;1305.0;1416.8;1552.7;1677.6;1877.2;2021.1;2173.3
