"Planted area of maize by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Lam Dong";12.1;14.4;14.8;15.5;13.7;12.4;13.2;15.9;16.4;16.2;18.3;19.4;19.9;18.4;17.9;16.2;16.8;17.7;16.5;15.4;13.8
"South East";81.3;91.1;98.0;89.8;92.5;100.0;98.9;103.0;105.7;99.8;95.7;92.5;92.6;88.8;89.7;79.8;78.7;79.3;79.8;80.0;79.3
"Binh Phuoc";3.1;3.9;6.1;5.7;5.8;5.9;6.6;6.8;7.7;7.1;7.6;7.0;6.3;5.6;7.4;6.7;5.3;5.5;5.3;4.9;4.9
"Tay Ninh";0.6;4.4;7.0;6.1;5.4;7.1;7.4;6.8;8.1;6.7;7.9;7.8;7.1;6.3;7.3;5.9;5.2;5.2;5.1;5.2;5.0
"Binh  Duong";0.6;1.9;1.1;1.2;1.3;1.3;1.3;1.3;1.2;1.1;1.0;0.8;0.6;0.6;0.5;0.5;0.5;0.4;0.4;0.4;0.4
"Dong Nai";62.0;64.5;66.8;59.4;61.7;65.3;63.5;68.5;68.9;65.5;59.8;56.7;58.2;56.7;54.4;47.7;49.9;51.2;52.0;52.2;52.2
"Ba Ria - Vung Tau";14.3;15.7;16.1;16.5;17.2;19.3;19.0;18.4;18.4;18.5;18.4;19.0;19.3;18.9;18.9;18.1;17.2;16.2;15.9;15.9;15.7
"Ho Chi Minh city";0.7;0.7;0.9;0.9;1.1;1.1;1.1;1.2;1.4;0.9;1.0;1.2;1.1;0.7;1.2;0.9;0.6;0.8;1.1;1.4;1.1
"Mekong River Delta";20.2;20.6;17.7;17.1;17.7;19.0;22.9;26.5;31.6;32.5;34.9;33.7;36.7;40.6;37.2;37.7;40.7;39.6;40.1;38.0;38.1
"Long An";0.1;0.1;0.5;0.2;0.4;0.4;1.9;1.3;2.4;2.2;3.2;4.6;4.6;5.1;4.0;5.2;4.9;4.0;3.9;4.2;4.2
"Tien Giang";1.7;2.1;2.2;2.4;2.4;2.5;2.3;3.2;3.2;3.1;3.4;1.5;4.2;4.6;4.7;4.7;5.0;4.6;4.3;4.0;4.4
"Ben Tre";1.2;1.2;0.9;0.9;0.6;0.8;1.0;1.1;0.8;0.8;0.8;0.7;0.7;0.7;0.9;0.9;1.0;0.9;0.7;0.7;0.7
"Tra Vinh";1.7;1.8;2.2;2.1;1.8;2.6;2.8;3.5;5.2;5.0;5.2;5.4;5.4;5.3;5.6;5.2;5.7;5.5;5.3;5.4;5.5
"Vinh Long";0.7;0.8;0.7;0.7;0.8;0.6;0.7;1.1;0.9;0.8;0.8;0.9;1.0;1.1;1.2;1.3;1.5;1.5;1.1;1.1;1.2
"Dong Thap";2.2;2.4;2.0;2.2;2.5;2.6;2.7;3.8;4.9;4.7;5.6;5.0;4.5;5.1;4.2;3.7;4.9;4.6;5.1;4.7;4.6
"An Giang";8.8;8.6;4.7;4.3;5.1;5.1;7.2;7.7;9.1;9.6;9.8;10.0;10.5;11.5;9.2;9.8;10.4;10.7;11.3;9.6;8.6
"Kien  Giang";..;0.1;..;..;..;..;..;0.1;0.2;0.1;..;0.0;..;0.0;0.1;..;0.1;0.1;0.1;0.1;0.1
"Can Tho";1.0;0.9;1.5;1.2;1.0;1.1;1.0;1.5;2.3;0.7;0.8;0.8;0.9;1.0;1.1;1.0;1.1;1.1;1.2;1.0;1.0
"Hau Giang";..;..;..;..;..;..;..;..;..;2.3;1.8;1.3;1.6;2.1;2.0;1.8;1.7;2.2;2.2;2.7;3.1
"Soc Trang";2.4;2.3;2.5;2.7;2.6;2.7;2.8;2.5;1.8;2.6;2.8;2.8;2.9;3.7;3.9;3.7;3.7;3.8;4.2;3.8;4.1
"Bac Lieu";0.2;0.1;0.2;0.2;0.3;0.3;0.2;0.2;0.3;0.4;0.5;0.5;0.2;0.2;0.1;0.1;0.1;0.1;0.2;0.2;0.1
"Ca Mau";0.2;0.2;0.3;0.2;0.2;0.3;0.3;0.5;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.6;0.5;0.5;0.5;0.5
